long,lat,AFFGEOID,NAME,STATEFP,miles,miles_roe,miles_strict,geoid,B01001026,B17001017,B17001046,pct_women_in_poverty,women_wo_ins,B27001030,pct_women_wo_insurance
-92.4119841455806,30.29053648053191,0500000US22001,Acadia,22,580.59356123004,76.09658708797153,309.8580786319793,05000US22001,31886,8561,22784,0.27312171000159513,2580,31458,0.08201411405683769
-92.00138567649503,31.076237716875053,0500000US22009,Avoyelles,22,531.1450469710261,66.76940319608374,286.7580628129918,05000US22009,20124,5040,14301,0.26058631921824105,1309,19390,0.06750902527075812
-93.34336855258,30.64845865908608,0500000US22011,Beauregard,22,534.2923833069552,61.30856605450803,364.65651298634594,05000US22011,18344,2742,15367,0.1514164227732067,1514,18125,0.08353103448275861
-91.64006957920051,31.44585575896005,0500000US22029,Concordia,22,502.032681845832,74.87357384765981,270.0641421210931,05000US22029,9877,2851,6832,0.2944335433233502,978,9695,0.10087674058793192
-93.73724615927983,32.05543534917029,0500000US22031,De Soto,22,436.6268332345928,29.37878323089014,399.93644402877686,05000US22031,14022,3339,10610,0.23937199799268766,868,13949,0.06222668291633809
-91.09560315385508,30.538251256078183,0500000US22033,East Baton Rouge,22,559.3078364573879,6.5314975441108105,230.69301445935977,05000US22033,231321,42703,183154,0.18907096082919725,15731,229784,0.0684599449918184
-91.34933844103202,30.258489962798155,0500000US22047,Iberville,22,580.2338203012584,17.466421195684095,246.66306910142427,05000US22047,16184,2820,12461,0.18454289640730318,838,15372,0.05451470205568566
-89.92883166812886,30.068686200789212,0500000US22071,Orleans,22,572.7348694462293,13.763753554098496,164.04915723797475,05000US22071,205997,49183,150416,0.24640905014554182,13914,204410,0.06806907685533976
-93.33986542342552,32.09313295470793,0500000US22081,Red River,22,445.17904487046286,35.35463834845626,378.038696899249,05000US22081,4311,1257,2875,0.3042110358180058,384,4248,0.0903954802259887
-91.72675689823214,30.228180319485205,0500000US22099,St. Martin,22,585.5712783111221,37.5178758428835,269.33110261839767,05000US22099,27253,5310,21754,0.196201596216376,1975,27181,0.07266104999816048
